小区名称,所在市,具体位置,房屋总价,户型,占地,单价,朝向,楼层,装修,网址
 联宝公寓, 朝阳 , 东直门 ,1320万, 3室2厅2卫 ,202.35平米, 65234元/平米 ,西南,中层,精装修,https://esf.fang.com/chushou/3_482611075.html
 联宝公寓, 朝阳 , 东直门 ,1300万, 4室2厅2卫 ,227.05平米, 57256元/平米 ,南北,中层,精装修,https://esf.fang.com/chushou/3_483143759.html
 八仙别墅, 昌平 , 北七家 ,1350万, 7室3厅3卫 ,299.24平米, 45114元/平米 ,南, 底层 ,精装修,https://esf.fang.com/chushou/10_482675116.html
 八仙别墅, 昌平 , 北七家 ,1350万, 7室3厅3卫 ,299.24平米, 45114元/平米 ,南, 底层 ,精装修,https://esf.fang.com/chushou/10_482693081.html
 八仙别墅, 昌平 , 北七家 ,1350万, 7室3厅3卫 ,299.24平米, 45114元/平米 ,南, 底层 ,精装修,https://esf.fang.com/chushou/10_482693199.html
 金地国际花园, 朝阳 , 大望路 ,1599万, 3室2厅2卫 ,181平米, 88343元/平米 ,南北,中层,精装修,https://esf.fang.com/chushou/3_482850336.html
 三全公寓, 朝阳 , 朝阳公园 ,795万, 2室2厅2卫 ,113.08平米, 70304元/平米 ,南北,中层,精装修,https://esf.fang.com/chushou/3_483261213.html
 三全公寓, 朝阳 , 朝阳公园 ,795万, 2室2厅2卫 ,113.08平米, 70304元/平米 ,南北,中层,精装修,https://esf.fang.com/chushou/3_483189100.html
 三全公寓, 朝阳 , 朝阳公园 ,795万, 2室2厅2卫 ,113.08平米, 70304元/平米 ,南北,中层,精装修,https://esf.fang.com/chushou/3_483054940.html
 红山世家, 西城 , 广安门 ,1000万, 2室1厅1卫 ,87.9平米, 113766元/平米 ,东,低层,精装修,https://esf.fang.com/chushou/3_483531274.html
 荣丰2008, 西城 , 广安门 ,400万, 1室1厅1卫 ,30.31平米, 131970元/平米 ,北,中层,精装修,https://esf.fang.com/chushou/3_482892095.html
 京投银泰琨御府, 海淀 , 曙光 ,2790万, 3室2厅2卫 ,165.07平米, 169019元/平米 ,南北,中层,豪华装修,https://esf.fang.com/chushou/3_483531041.html
 泛海世家, 朝阳 , 朝阳公园 ,5000万, 4室2厅4卫 ,376平米, 132979元/平米 ,南北,低层,豪华装修,https://esf.fang.com/chushou/3_483530944.html
 合生霄云路8号, 朝阳 , 燕莎 ,4200万, 4室3厅4卫 ,450平米, 93333元/平米 ,南北,低层,精装修,https://esf.fang.com/chushou/3_483530924.html
 加州水郡东区, 房山 , 长阳 ,298万, 3室1厅1卫 ,96.71平米, 30814元/平米 ,南北,高层,精装修,https://esf.fang.com/chushou/3_483530907.html
 佳世苑小区, 房山 , 良乡 ,236万, 2室1厅1卫 ,100.05平米, 23588元/平米 ,东南,低层,精装修,https://esf.fang.com/chushou/3_483530843.html
 佳世苑小区, 房山 , 良乡 ,240万, 2室1厅1卫 ,102.41平米, 23435元/平米 ,南北,低层,简装修,https://esf.fang.com/chushou/3_483530842.html
 永金里, 海淀 , 五棵松 ,450万, 3室1厅1卫 ,74.29平米, 60573元/平米 ,东北,高层,精装修,https://esf.fang.com/chushou/3_483530741.html
 永金里, 海淀 , 五棵松 ,499万, 2室1厅1卫 ,70.64平米, 70640元/平米 ,东北,低层,简装修,https://esf.fang.com/chushou/3_483530721.html
 西棕榈滩, 房山 , 长阳 ,359万, 3室2厅2卫 ,156.04平米, 23007元/平米 ,南北,高层,精装修,https://esf.fang.com/chushou/3_483530633.html
 西棕榈滩, 房山 , 长阳 ,366万, 3室2厅2卫 ,133.13平米, 27492元/平米 ,南北,中层,精装修,https://esf.fang.com/chushou/3_483530631.html
 西棕榈滩, 房山 , 长阳 ,360万, 3室2厅2卫 ,131.08平米, 27464元/平米 ,南北,低层,精装修,https://esf.fang.com/chushou/3_483530630.html
 西棕榈滩, 房山 , 长阳 ,155万, 1室1厅1卫 ,73.01平米, 21230元/平米 ,东南, 底层 ,精装修,https://esf.fang.com/chushou/3_483530632.html
