小区名称,所在市,具体位置,房屋总价,户型,占地,单价,朝向,楼层,装修,网址
 合景泰富誉峰一期, 渝北 , 中央公园 ,133万, 3室2厅2卫 ,98.26平米, 13536元/平米 ,南,高层,精装修,https://cq.esf.fang.com/chushou/3_204917877.html
 鲁能泰山7号十九街区, 渝北 , 中央公园 ,123万, 3室2厅1卫 ,80平米, 15375元/平米 ,南,顶层,精装修,https://cq.esf.fang.com/chushou/3_204917875.html
 首创禧瑞山河, 南岸 , 茶园新区 ,211万, 4室2厅2卫 ,189.19平米, 11153元/平米 ,南,高层,毛坯,https://cq.esf.fang.com/chushou/3_204890644.html
 首创禧瑞山河, 南岸 , 茶园新区 ,213万, 4室2厅2卫 ,189平米, 11270元/平米 ,南,高层,精装修,https://cq.esf.fang.com/chushou/3_204890637.html
 保利堂悦照水园, 南岸 , 茶园新区 ,185万, 3室2厅1卫 ,136.49平米, 13554元/平米 ,南北,中层,简装修,https://cq.esf.fang.com/chushou/3_204901824.html
 恒大名都, 渝中 , 大坪 ,168万, 3室2厅2卫 ,125平米, 13440元/平米 ,南, 底层 ,精装修,https://cq.esf.fang.com/chushou/3_204912390.html
 珊瑚水岸, 南岸 , 南滨路 ,265万, 3室2厅2卫 ,206.87平米, 12810元/平米 ,西北,中层,精装修,https://cq.esf.fang.com/chushou/3_204836940.html
 鲁能领秀城别墅, 南岸 , 茶园新区 ,285万, 4室2厅3卫 ,314.35平米, 9066元/平米 ,北, 底层 ,简装修,https://cq.esf.fang.com/chushou/10_204901830.html
 煌华晶萃城, 江北 , 观音桥 ,148万, 3室2厅2卫 ,96.19平米, 15386元/平米 ,东南,中层,精装修,https://cq.esf.fang.com/chushou/3_204890776.html
 春风与湖, 九龙坡 , 陈家坪 ,80万, 2室2厅1卫 ,84.81平米, 9433元/平米 ,东北, 底层 ,精装修,https://cq.esf.fang.com/chushou/3_204916008.html
 长嘉汇五期, 南岸 , 涂山路 ,1250万, 6室2厅4卫 ,400.44平米, 31216元/平米 ,南,高层,豪华装修,https://cq.esf.fang.com/chushou/3_204417992.html
 中国铁建西派城, 江北 , 海尔路 ,310万, 4室2厅3卫 ,190.2平米, 16299元/平米 ,南,低层,精装修,https://cq.esf.fang.com/chushou/3_204913698.html
 千山·九龙天景, 九龙坡 , 石坪桥 ,95万, 2室2厅1卫 ,75平米, 12667元/平米 ,南, 底层 ,毛坯,https://cq.esf.fang.com/chushou/3_204890608.html
 北大资源紫境府, 南岸 , 南岸其他 ,186万, 4室2厅2卫 ,160平米, 11625元/平米 ,西南,中层,精装修,https://cq.esf.fang.com/chushou/3_204897990.html
 阳光城天澜道11号, 江北 , 江北嘴 ,268万, 3室2厅3卫 ,167平米, 16048元/平米 ,东北,高层,精装修,https://cq.esf.fang.com/chushou/3_204916893.html
 新江与城悠澜, 渝北 , 大竹林 ,133万, 2室2厅2卫 ,97.65平米, 13620元/平米 ,北,低层,精装修,https://cq.esf.fang.com/chushou/3_204878698.html
 中国铁建西派城, 江北 , 海尔路 ,307万, 4室3厅2卫 ,186.53平米, 16458元/平米 ,南,低层,精装修,https://cq.esf.fang.com/chushou/3_204884830.html
 北大资源紫境府, 南岸 , 南岸其他 ,208万, 4室2厅3卫 ,167.16平米, 12443元/平米 ,东北, 底层 ,毛坯,https://cq.esf.fang.com/chushou/3_204897997.html
 中国铁建西派城, 江北 , 海尔路 ,365万, 4室2厅3卫 ,272.54平米, 13393元/平米 ,西北,高层,毛坯,https://cq.esf.fang.com/chushou/3_204834308.html
 寻光沙磁, 沙坪坝 , 磁器口 ,142万, 3室2厅1卫 ,86平米, 16512元/平米 ,南,中层,精装修,https://cq.esf.fang.com/chushou/3_204138777.html
 中国铁建西派城, 江北 , 海尔路 ,268万, 3室2厅2卫 ,144平米, 18611元/平米 ,南, 底层 ,精装修,https://cq.esf.fang.com/chushou/3_204884862.html
 阳光城天澜道11号, 江北 , 江北嘴 ,380万, 4室2厅3卫 ,182平米, 20879元/平米 ,东南,高层,精装修,https://cq.esf.fang.com/chushou/3_204903767.html
 重庆·融创壹号院, 渝北 , 大竹林 ,282万, 4室2厅2卫 ,142平米, 19859元/平米 ,南,低层,豪华装修,https://cq.esf.fang.com/chushou/3_204857727.html
 融景城澜岸, 江北 , 北滨路 ,155万, 2室2厅2卫 ,114.1平米, 13585元/平米 ,北,高层,精装修,https://cq.esf.fang.com/chushou/3_204917454.html
 华宇渝州新都, 渝中 , 大坪 ,158万, 3室2厅2卫 ,137.95平米, 11453元/平米 ,西北,低层,精装修,https://cq.esf.fang.com/chushou/3_204879749.html
 中国铁建西派城, 江北 , 海尔路 ,316万, 4室2厅3卫 ,188平米, 16809元/平米 ,南,高层,豪华装修,https://cq.esf.fang.com/chushou/3_204858908.html
 首创禧瑞山河, 南岸 , 茶园新区 ,238万, 3室2厅2卫 ,189平米, 12593元/平米 ,南,中层,中装修,https://cq.esf.fang.com/chushou/3_204901823.html
 凯德九章, 渝北 , 冉家坝 ,508万, 4室2厅3卫 ,209平米, 24306元/平米 ,南,中层,精装修,https://cq.esf.fang.com/chushou/3_204883478.html
 龙湖康田麓宸, 南岸 , 茶园新区 ,178万, 4室2厅3卫 ,135平米, 13185元/平米 ,南, 底层 ,简装修,https://cq.esf.fang.com/chushou/3_204901826.html
 中建龙玺台, 九龙坡 , 大堰 ,178万, 4室2厅2卫 ,144.99平米, 12277元/平米 ,东北,高层,精装修,https://cq.esf.fang.com/chushou/3_204913360.html
 庆隆南山高尔夫山外山, 南岸 , 茶园新区 ,438万, 7室3厅5卫 ,372.19平米, 11768元/平米 ,南, 底层 ,简装修,https://cq.esf.fang.com/chushou/10_204901832.html
 中国铁建西派城, 江北 , 海尔路 ,300万, 4室2厅3卫 ,186平米, 16129元/平米 ,西南,高层,精装修,https://cq.esf.fang.com/chushou/3_204834328.html
 保亿御景润园, 北碚 , 蔡家 ,113万, 3室2厅2卫 ,97平米, 11649元/平米 ,南北,中层,精装修,https://cq.esf.fang.com/chushou/3_204874262.html
 恒大名都, 渝中 , 大坪 ,248万, 4室2厅2卫 ,160平米, 15500元/平米 ,西北,低层,精装修,https://cq.esf.fang.com/chushou/3_204905349.html
 中粮保利天玺壹号, 渝北 , 中央公园 ,520万, 4室2厅3卫 ,199平米, 26131元/平米 ,南,高层,精装修,https://cq.esf.fang.com/chushou/3_204890145.html
 龙锦新苑, 九龙坡 , 白市驿 ,58万, 3室2厅2卫 ,125平米, 4640元/平米 ,南北,高层,毛坯,https://cq.esf.fang.com/chushou/3_204897373.html
 中粮保利天玺壹号, 渝北 , 中央公园 ,269万, 4室2厅2卫 ,161平米, 16708元/平米 ,南,低层,精装修,https://cq.esf.fang.com/chushou/3_204890149.html
 国盛园墅住宅, 沙坪坝 , 西永 ,179万, 4室2厅3卫 ,133.61平米, 13397元/平米 ,东南, 底层 ,精装修,https://cq.esf.fang.com/chushou/3_204914387.html
 凯德九章, 渝北 , 冉家坝 ,418万, 4室2厅2卫 ,168.5平米, 24807元/平米 ,南北,中层,豪华装修,https://cq.esf.fang.com/chushou/3_203174809.html
 金辉云缦长滩, 九龙坡 , 黄桷坪 ,125万, 3室2厅2卫 ,90.56平米, 13803元/平米 ,南,中层,精装修,https://cq.esf.fang.com/chushou/3_204914727.html
 龙湖拉特芳斯, 沙坪坝 , 西永 ,355万, 4室2厅2卫 ,243.64平米, 14571元/平米 ,北, 底层 ,精装修,https://cq.esf.fang.com/chushou/3_204914402.html
 上海城, 南岸 , 南坪 ,255万, 4室2厅2卫 ,165平米, 15455元/平米 ,东北,高层,豪华装修,https://cq.esf.fang.com/chushou/3_204822722.html
 朝兴龙城国际, 渝北 , 花卉园 ,75万, 3室2厅1卫 ,88.41平米, 8483元/平米 ,南,中层,精装修,https://cq.esf.fang.com/chushou/3_204870758.html
 中交中央公园美麓, 渝北 , 中央公园 ,124万, 3室2厅2卫 ,92平米, 13478元/平米 ,西南,低层,精装修,https://cq.esf.fang.com/chushou/3_204914532.html
 斌鑫江南御府, 巴南 , 李家沱 ,71.8万, 4室2厅2卫 ,116.33平米, 6172元/平米 ,西,中层,精装修,https://cq.esf.fang.com/chushou/3_204911228.html
 加州城市花园, 渝北 , 加州新牌坊 ,128万, 4室2厅2卫 ,169.12平米, 7569元/平米 ,南,中层,精装修,https://cq.esf.fang.com/chushou/3_204918076.html
 佳兆业滨江新城墨香庭, 大渡口 , 茄子溪 ,52万, 2室2厅1卫 ,66平米, 7879元/平米 ,北,高层,精装修,https://cq.esf.fang.com/chushou/3_204905715.html
 龙湖西宸原著, 沙坪坝 , 大学城 ,176万, 4室2厅2卫 ,137平米, 12847元/平米 ,南北,高层,精装修,https://cq.esf.fang.com/chushou/3_204651658.html
 建工新康桥, 九龙坡 , 渝州路 ,55万, 2室2厅1卫 ,68平米, 8088元/平米 ,北,低层,精装修,https://cq.esf.fang.com/chushou/3_204916875.html
 保利观澜三期, 江北 , 江北嘴 ,144万, 3室2厅2卫 ,95.03平米, 15153元/平米 ,西南,高层,精装修,https://cq.esf.fang.com/chushou/3_204911125.html
 鸥鹏泊雅湾, 沙坪坝 , 大学城 ,130万, 4室2厅2卫 ,133平米, 9774元/平米 ,东南,中层,精装修,https://cq.esf.fang.com/chushou/3_204914423.html
 汇祥林里3000, 渝北 , 空港新城 ,251万, 4室2厅2卫 ,165.07平米, 15206元/平米 ,北,低层,豪华装修,https://cq.esf.fang.com/chushou/3_204897728.html
 协信城立方, 沙坪坝 , 大学城 ,154.5万, 4室2厅2卫 ,137.77平米, 11214元/平米 ,东南,中层,精装修,https://cq.esf.fang.com/chushou/3_204914416.html
 泷悦长安, 沙坪坝 , 西永 ,85万, 3室2厅2卫 ,83平米, 10241元/平米 ,南,中层,毛坯,https://cq.esf.fang.com/chushou/3_204611982.html
 阳光城未来悦, 渝北 , 中央公园 ,155万, 3室2厅2卫 ,98.49平米, 15738元/平米 ,南北,中层,精装修,https://cq.esf.fang.com/chushou/3_204916424.html
 富州新城, 沙坪坝 , 高庙村 ,109.1万, 3室2厅2卫 ,105.89平米, 10303元/平米 ,西南,中层,精装修,https://cq.esf.fang.com/chushou/3_204842786.html
 约克郡.禧悦, 渝北 , 照母山 ,195万, 3室2厅2卫 ,122.86平米, 15872元/平米 ,西北,高层,精装修,https://cq.esf.fang.com/chushou/3_204902893.html
 恒大城, 巴南 , 李家沱 ,96万, 4室2厅2卫 ,148平米, 6486元/平米 ,西,高层,精装修,https://cq.esf.fang.com/chushou/3_204916631.html
 复地新城就, 渝北 , 汽博中心 ,128万, 3室2厅2卫 ,100平米, 12800元/平米 ,南,中层,精装修,https://cq.esf.fang.com/chushou/3_204908315.html
 恒大未来城一街区, 沙坪坝 , 大学城 ,114万, 4室2厅2卫 ,139.22平米, 8188元/平米 ,南,低层,精装修,https://cq.esf.fang.com/chushou/3_204918347.html
 千山九龙天景, 九龙坡 , 石坪桥 ,140万, 3室2厅2卫 ,99平米, 14141元/平米 ,南, 底层 ,毛坯,https://cq.esf.fang.com/chushou/3_204916524.html
 爱加西西里, 渝北 , 汽博中心 ,165万, 3室2厅2卫 ,138平米, 11957元/平米 ,东南,中层,精装修,https://cq.esf.fang.com/chushou/3_204902969.html
 朝兴龙城国际, 渝北 , 花卉园 ,75万, 3室2厅1卫 ,88.41平米, 8483元/平米 ,南,中层,精装修,https://cq.esf.fang.com/chushou/3_204870758.html
 半山公馆, 九龙坡 , 六店子 ,158万, 4室2厅2卫 ,158.21平米, 9987元/平米 ,南北,中层,精装修,https://cq.esf.fang.com/chushou/3_204840569.html
 汇祥林里3000, 渝北 , 空港新城 ,251万, 4室2厅2卫 ,165.07平米, 15206元/平米 ,北,低层,豪华装修,https://cq.esf.fang.com/chushou/3_204897728.html
 约克郡.禧悦, 渝北 , 照母山 ,185万, 3室2厅1卫 ,93.43平米, 19801元/平米 ,东北,高层,精装修,https://cq.esf.fang.com/chushou/3_204902889.html
 渝高香洲, 九龙坡 , 巴国城 ,95万, 2室2厅1卫 ,81.04平米, 11723元/平米 ,南, 底层 ,精装修,https://cq.esf.fang.com/chushou/3_204916934.html
 万科西九, 九龙坡 , 石坪桥 ,80万, 2室2厅1卫 ,58.78平米, 13610元/平米 ,南,高层,精装修,https://cq.esf.fang.com/chushou/3_204911916.html
 招商·1872, 九龙坡 , 石桥铺 ,209万, 4室2厅2卫 ,129.63平米, 16123元/平米 ,南,顶层,精装修,https://cq.esf.fang.com/chushou/3_204898715.html
 江屿朗廷, 渝中 , 黄沙溪 ,60万, 2室1厅1卫 ,60.21平米, 9965元/平米 ,西,低层,精装修,https://cq.esf.fang.com/chushou/3_204907721.html
 晋愉V时代住宅, 九龙坡 , 二郎 ,80万, 2室2厅1卫 ,79.97平米, 10004元/平米 ,西,低层,精装修,https://cq.esf.fang.com/chushou/3_204913651.html
 富州新城, 沙坪坝 , 高庙村 ,85万, 3室2厅2卫 ,106平米, 8019元/平米 ,东,低层,精装修,https://cq.esf.fang.com/chushou/3_204895403.html
 保利爱尚里尚佳, 九龙坡 , 石坪桥 ,94万, 2室1厅1卫 ,79平米, 11899元/平米 ,东北,高层,精装修,https://cq.esf.fang.com/chushou/3_204916579.html
 俊峰·山万里, 沙坪坝 , 石井坡 ,268万, 4室2厅3卫 ,109平米, 24587元/平米 ,南北,中层,毛坯,https://cq.esf.fang.com/chushou/3_203940753.html
 融汇半岛江上公馆, 巴南 , 巴滨路 ,95万, 4室2厅2卫 ,127平米, 7480元/平米 ,北,高层,精装修,https://cq.esf.fang.com/chushou/3_204913706.html
 龙桥花苑, 大渡口 , 茄子溪 ,45.8万, 3室2厅1卫 ,70平米, 6543元/平米 ,南,中层,精装修,https://cq.esf.fang.com/chushou/3_204903647.html
 金科廊桥水乡缙山美, 沙坪坝 , 大学城 ,52万, 3室2厅1卫 ,83.42平米, 6234元/平米 ,东北,低层,精装修,https://cq.esf.fang.com/chushou/3_204916367.html
 隆鑫盛世普天, 九龙坡 , 二郎 ,80万, 3室2厅2卫 ,94.43平米, 8472元/平米 ,东,中层,精装修,https://cq.esf.fang.com/chushou/3_204913654.html
 聚金万佳苑, 九龙坡 , 奥体中心 ,68万, 3室2厅1卫 ,94.23平米, 7216元/平米 ,东, 底层 ,精装修,https://cq.esf.fang.com/chushou/3_204916520.html
 协信城立方, 沙坪坝 , 大学城 ,154.5万, 4室2厅2卫 ,137.77平米, 11214元/平米 ,东南,中层,精装修,https://cq.esf.fang.com/chushou/3_204914416.html
 北麓国际城, 沙坪坝 , 大学城 ,100万, 3室2厅2卫 ,102平米, 9804元/平米 ,南北,高层,毛坯,https://cq.esf.fang.com/chushou/3_204615447.html
 龙湖春森彼岸, 江北 , 北滨路 ,324万, 4室1厅2卫 ,156.32平米, 20727元/平米 ,南,高层,精装修,https://cq.esf.fang.com/chushou/3_204831843.html
 公园大道上东汇菁澜三组团, 渝北 , 中央公园 ,113万, 2室2厅2卫 ,87.95平米, 12848元/平米 ,西北,低层,精装修,https://cq.esf.fang.com/chushou/3_204916423.html
 融创金开融府, 渝北 , 回兴 ,646万, 7室3厅4卫 ,212.47平米, 30404元/平米 ,南, 底层 ,精装修,https://cq.esf.fang.com/chushou/10_204897792.html
 金科集美阳光, 大渡口 , 茄子溪 ,70万, 3室2厅2卫 ,99平米, 7071元/平米 ,北,高层,精装修,https://cq.esf.fang.com/chushou/3_204914624.html
 云飞九龙香山, 九龙坡 , 华岩新城 ,51.8万, 3室2厅2卫 ,82.96平米, 6244元/平米 ,西南,高层,精装修,https://cq.esf.fang.com/chushou/3_204913656.html
 首创天阅嘉陵, 沙坪坝 , 双碑 ,238万, 4室2厅3卫 ,225平米, 10578元/平米 ,南,高层,毛坯,https://cq.esf.fang.com/chushou/3_204444385.html
 万科星光天空之城, 沙坪坝 , 新桥 ,115万, 3室2厅2卫 ,87.37平米, 13162元/平米 ,南,中层,精装修,https://cq.esf.fang.com/chushou/3_204756071.html
 北辰悦来壹号璟悦, 渝北 , 悦来 ,153.8万, 3室2厅2卫 ,115平米, 13374元/平米 ,南,中层,毛坯,https://cq.esf.fang.com/chushou/3_204913604.html
 保利爱尚里一期, 九龙坡 , 石坪桥 ,77万, 3室2厅1卫 ,95.62平米, 8053元/平米 ,东,低层,精装修,https://cq.esf.fang.com/chushou/3_204725570.html
 半山七号, 九龙坡 , 六店子 ,125万, 3室2厅2卫 ,112平米, 11161元/平米 ,南北,高层,精装修,https://cq.esf.fang.com/chushou/3_204843696.html
 中交中央公园美麓, 渝北 , 中央公园 ,91万, 3室2厅2卫 ,96平米, 9479元/平米 ,南,中层,精装修,https://cq.esf.fang.com/chushou/3_204916974.html
 光华阳光水城, 沙坪坝 , 杨公桥 ,113万, 4室2厅2卫 ,126平米, 8968元/平米 ,南,高层,精装修,https://cq.esf.fang.com/chushou/3_204877716.html
 国美江天御府, 江北 , 北滨路 ,298万, 4室2厅3卫 ,137.16平米, 21726元/平米 ,东,顶层,毛坯,https://cq.esf.fang.com/chushou/3_204823310.html
 龙湖拉特芳斯, 沙坪坝 , 西永 ,355万, 4室2厅2卫 ,243.64平米, 14571元/平米 ,北, 底层 ,精装修,https://cq.esf.fang.com/chushou/3_204914402.html
 上海城, 南岸 , 南坪 ,65万, 2室1厅1卫 ,61平米, 10656元/平米 ,东北,高层,精装修,https://cq.esf.fang.com/chushou/3_204907185.html
 朵力迎宾大道, 大渡口 , 双山 ,86万, 3室2厅2卫 ,84.23平米, 10210元/平米 ,东,高层,精装修,https://cq.esf.fang.com/chushou/3_204907620.html
 光华阳光水城, 沙坪坝 , 杨公桥 ,132万, 4室2厅2卫 ,145平米, 9103元/平米 ,南,高层,中装修,https://cq.esf.fang.com/chushou/3_204877742.html
 江南明珠, 南岸 , 南坪东路 ,112万, 3室2厅2卫 ,165平米, 6788元/平米 ,南,中层,精装修,https://cq.esf.fang.com/chushou/3_204836753.html
 龙湖康田麓宸, 南岸 , 茶园新区 ,142万, 4室2厅2卫 ,128平米, 11094元/平米 ,东北,中层,简装修,https://cq.esf.fang.com/chushou/3_204907307.html
 首创城, 沙坪坝 , 双碑 ,70万, 2室2厅1卫 ,65平米, 10769元/平米 ,南,中层,精装修,https://cq.esf.fang.com/chushou/3_204916840.html
 阳光城天澜道11号, 江北 , 江北嘴 ,900万, 4室2厅4卫 ,309平米, 29126元/平米 ,东,高层,精装修,https://cq.esf.fang.com/chushou/3_204902864.html
 绿城晓风印月, 渝北 , 礼嘉 ,205万, 4室2厅2卫 ,143.24平米, 14312元/平米 ,南,高层,精装修,https://cq.esf.fang.com/chushou/3_204911243.html
