小区名称,所在市,具体位置,房屋总价,户型,占地,单价,朝向,楼层,装修,网址
 湖上春风里, 钱塘 , 金沙湖 ,310万, 4室2厅2卫 ,124.94平米, 24812元/平米 ,南,低层,豪华装修,https://hz.esf.fang.com/chushou/3_264852276.html
 绿城春风金沙, 钱塘 , 金沙湖 ,350万, 3室2厅2卫 ,106.12平米, 32982元/平米 ,南,低层,精装修,https://hz.esf.fang.com/chushou/3_264984338.html
 绿城春风金沙, 钱塘 , 金沙湖 ,420万, 4室2厅2卫 ,126.73平米, 33141元/平米 ,南北,高层,精装修,https://hz.esf.fang.com/chushou/3_264949278.html
 春风金沙里, 钱塘 , 金沙湖 ,500万, 4室2厅2卫 ,163.67平米, 30549元/平米 ,南,低层,精装修,https://hz.esf.fang.com/chushou/3_264822724.html
 望金沙筑, 钱塘 , 金沙湖 ,420万, 4室2厅2卫 ,139.17平米, 30179元/平米 ,南,中层,精装修,https://hz.esf.fang.com/chushou/3_264816970.html
 绿城春风金沙, 钱塘 , 金沙湖 ,450万, 暂无 ,140.76平米, 31969元/平米 ,南北,中层,精装修,https://hz.esf.fang.com/chushou/3_264944218.html
 春风金沙里, 钱塘 , 金沙湖 ,450万, 4室2厅2卫 ,127.09平米, 35408元/平米 ,南,中层,精装修,https://hz.esf.fang.com/chushou/3_264822666.html
 绿城春风金沙, 钱塘 , 金沙湖 ,330万, 4室2厅1卫 ,164.02平米, 20119元/平米 ,南北,低层,精装修,https://hz.esf.fang.com/chushou/3_264975610.html
 绿城春风金沙, 钱塘 , 金沙湖 ,399万, 4室2厅2卫 ,127.14平米, 31383元/平米 ,南,低层,精装修,https://hz.esf.fang.com/chushou/3_264333342.html
 坤和融创开元望金沙, 钱塘 , 金沙湖 ,335万, 3室2厅2卫 ,119.6平米, 28010元/平米 ,南,中层,精装修,https://hz.esf.fang.com/chushou/3_264963957.html
 龙湖滟澜山, 钱塘 , 金沙湖 ,306万, 3室2厅2卫 ,127.7平米, 23962元/平米 ,南北,低层,精装修,https://hz.esf.fang.com/chushou/3_265029978.html
 绿城春风金沙, 钱塘 , 金沙湖 ,320万, 3室2厅2卫 ,106.08平米, 30166元/平米 ,南北,中层,精装修,https://hz.esf.fang.com/chushou/3_264914999.html
