小区名称,所在市,具体位置,房屋总价,户型,占地,单价,朝向,楼层,装修,网址
 东源名都, 浦东 , 高行 ,630万, 2室2厅2卫 ,111.13平米, 56690元/平米 ,南,低层,毛坯,https://sh.esf.fang.com/chushou/3_429716769.html
 曹杨四村, 普陀 , 曹杨 ,170万, 1室0厅1卫 ,35.56平米, 47807元/平米 ,南,顶层,精装修,https://sh.esf.fang.com/chushou/3_428856044.html
 开开大楼, 普陀 , 长风 ,440万, 2室2厅1卫 ,78.11平米, 56331元/平米 ,南,高层,简装修,https://sh.esf.fang.com/chushou/3_429698761.html
 盘古天地, 嘉定 , 嘉定新城 ,540万, 4室2厅2卫 ,128.77平米, 41935元/平米 ,南,高层,精装修,https://sh.esf.fang.com/chushou/3_429489358.html
 盘古天地, 嘉定 , 嘉定新城 ,680万, 3室2厅2卫 ,146.61平米, 46382元/平米 ,南北,低层,精装修,https://sh.esf.fang.com/chushou/3_429489467.html
 香山新村东北街坊, 浦东 , 金杨 ,360万, 2室1厅1卫 ,63.44平米, 56747元/平米 ,北,中层,精装修,https://sh.esf.fang.com/chushou/3_429725206.html
 香山新村西北街坊, 浦东 , 金杨 ,279万, 1室1厅1卫 ,50.23平米, 55544元/平米 ,南,低层,精装修,https://sh.esf.fang.com/chushou/3_429725213.html
 康乐小区(徐汇), 徐汇 , 康健 ,388万, 2室1厅1卫 ,59.31平米, 65419元/平米 ,南,顶层,精装修,https://sh.esf.fang.com/chushou/3_429586128.html
 中关村公寓, 普陀 , 真如 ,780万, 2室2厅1卫 ,103.06平米, 75684元/平米 ,南,低层,简装修,https://sh.esf.fang.com/chushou/3_429575622.html
 金杨园, 普陀 , 曹杨 ,215万, 2室1厅1卫 ,42.93平米, 50082元/平米 ,南,顶层,简装修,https://sh.esf.fang.com/chushou/3_429264609.html
 金阳怡景, 普陀 , 长风 ,805万, 2室2厅2卫 ,104.08平米, 77344元/平米 ,南,低层,简装修,https://sh.esf.fang.com/chushou/3_429344714.html
 金杨新村六街坊, 浦东 , 金杨 ,416万, 2室2厅1卫 ,64.13平米, 64868元/平米 ,南,顶层,精装修,https://sh.esf.fang.com/chushou/3_428752000.html
 罗山七村, 浦东 , 金杨 ,300万, 2室1厅1卫 ,65.82平米, 45579元/平米 ,南,顶层,简装修,https://sh.esf.fang.com/chushou/3_429415175.html
 伟业金锦苑一村, 浦东 , 金桥 ,560万, 3室2厅1卫 ,108平米, 51852元/平米 ,南,高层,简装修,https://sh.esf.fang.com/chushou/3_428626949.html
 曹杨三村兰岭园, 普陀 , 曹杨 ,176万, 1室0厅1卫 ,31.57平米, 55749元/平米 ,南, 底层 ,精装修,https://sh.esf.fang.com/chushou/3_428855978.html
